donation_id,donor_id,amount,donation_date,campaign,method,name,gender,generation,age_group,income_bracket,email,phone,address,donor_type,first_donation_date,acquisition_source
957a439b-5336-4531-ab84-5cd9868d0d0e,DNR0000,54.67,2023-04-01,New Year Giving Initiative,Credit Card,Melissa Sutton,Female,Millennial,18-30,<$50k,denisewade@example.org,+1-422-318-3406x2904,"6245 Tommy Throughway Suite 565, West Loriview, UT 59270",Small Online Donors,2022-12-01,Meta Ads
3552f7d7-0403-41d7-843b-bf4cf5078156,DNR0000,69.3,2023-03-06,Kids 4 Climate School Fundraiser,Bank Transfer,Melissa Sutton,Female,Millennial,18-30,<$50k,denisewade@example.org,+1-422-318-3406x2904,"6245 Tommy Throughway Suite 565, West Loriview, UT 59270",Small Online Donors,2022-12-01,Meta Ads
b915825a-0e0a-4218-81e8-4f7d52001e77,DNR0000,62.54,2025-05-08,Annual Appeal,Cash,Melissa Sutton,Female,Millennial,18-30,<$50k,denisewade@example.org,+1-422-318-3406x2904,"6245 Tommy Throughway Suite 565, West Loriview, UT 59270",Small Online Donors,2022-12-01,Meta Ads
3792dd91-d1ca-4253-b7e9-7004e9af1320,DNR0000,52.75,2023-07-06,Earth Day Events,Venmo,Melissa Sutton,Female,Millennial,18-30,<$50k,denisewade@example.org,+1-422-318-3406x2904,"6245 Tommy Throughway Suite 565, West Loriview, UT 59270",Small Online Donors,2022-12-01,Meta Ads
6b1f7b72-20e9-430b-b0d9-9a852db64ab5,DNR0001,52.62,2024-02-19,Annual Appeal,Credit Card,William Alexander,Male,Gen X,31-45,Prefer not to say,sherrera@example.org,(885)445-7494,"335 Charles Run, Pricechester, VI 06164",Small Online Donors,2021-07-08,Google Ads
d3c5c938-91fc-4cb9-8d82-a826a5a2b6bf,DNR0002,5.0,2024-06-10,Arctic Fox Day,Credit Card,Renee Massey,Female,Gen Z,18-30,<$50k,ernest64@example.com,258.229.3739,"43281 Gary Meadow Apt. 751, East Whitneyville, MT 40019",Small Online Donors,2024-06-01,Nurture Campaign
a50f4f47-a930-4181-afa2-fbabc4b3e39b,DNR0002,42.26,2024-10-25,Earth Day Events,PayPal,Renee Massey,Female,Gen Z,18-30,<$50k,ernest64@example.com,258.229.3739,"43281 Gary Meadow Apt. 751, East Whitneyville, MT 40019",Small Online Donors,2024-06-01,Nurture Campaign
ecf8ede0-722a-41f9-ad44-ae2320198a07,DNR0002,26.81,2025-05-09,Earth Day Events,Check,Renee Massey,Female,Gen Z,18-30,<$50k,ernest64@example.com,258.229.3739,"43281 Gary Meadow Apt. 751, East Whitneyville, MT 40019",Small Online Donors,2024-06-01,Nurture Campaign
71b3f18e-dcda-42bd-aace-f3a061699517,DNR0002,56.61,2024-12-31,Whale Shark Supporter Program,Credit Card,Renee Massey,Female,Gen Z,18-30,<$50k,ernest64@example.com,258.229.3739,"43281 Gary Meadow Apt. 751, East Whitneyville, MT 40019",Small Online Donors,2024-06-01,Nurture Campaign
d82cedfa-1402-42b7-9535-38fd2793fb37,DNR0003,108.19,2024-01-29,Emergency Response Fund,Credit Card,Kyle Jones,Male,Gen X,46-60,$100k+,cboyd@example.org,452-478-8873x34068,"6935 Brittany Meadow, Lake Michael, AZ 42042",Small Online Donors,2022-04-02,Google Ads
0a611071-b631-4532-bd3a-3d42e18790c2,DNR0004,196.83,2024-05-09,Red Fox Run 5K,Check,Caio Azevedo,Male,Gen X,46-60,<$50k,greeneadam@example.com,877.486.5048,"52344 Carter Key, North Michael, NV 77209",Event Donors,2024-04-15,Earth Day Event
083082e9-9df7-4251-b465-1dc1606b4cf7,DNR0005,79.62,2025-05-26,New Year Giving Initiative,Check,Charlie Thomas-Wilkinson,Male,Millennial,18-30,Prefer not to say,tammywilliams@example.org,+1-720-632-1751,"33873 Oliver Villages, North Christinaside, WV 49095",Small Online Donors,2022-10-30,Meta Ads
55b59c6a-88b6-4540-96cd-033739162797,DNR0005,5.0,2024-01-09,Arctic Fox Day,Check,Charlie Thomas-Wilkinson,Male,Millennial,18-30,Prefer not to say,tammywilliams@example.org,+1-720-632-1751,"33873 Oliver Villages, North Christinaside, WV 49095",Small Online Donors,2022-10-30,Meta Ads
